"act_name","jurisdiction","Section","Heading","implement_type","responsible_official","discretion_type","Paragraph"
"Assessment Act","Provincial","65","Appeal of board decision on question of law","assessment; requirement","board; authority","discretionary","65  (1) Subject to subsection (2), a person affected by a decision of the board on appeal, including a local government, a treaty first nation, the government, the Nisg_a'a Nation or the assessment authority, may require the board to refer the decision to the Supreme Court for appeal on a question of law alone in the form of a stated case."
"Assessment Act","Provincial","66","Assessment authority to provide information to the government","assessment","authority","mandatory","(1) The assessment authority must provide assessment information to the government for purposes of determining tax liability, collecting a tax or, if applicable, requisitioning under the Speculation and Vacancy Tax Act, the Police Act, the School Act and the Taxation (Rural Area) Act, as follows:"
"Assessment Act","Provincial","66","Assessment authority to provide information to the government","assessment","authority","mandatory","(1.1) On request of the government, the assessment authority must provide assessment inventory and valuation information to the government for purposes of determining a school tax refund under section 131.1 of the School Act."
"Assessment Act","Provincial","66","Assessment authority to provide information to the government","requirement","minister","mandatory","(2) Despite section 69 (1), information under subsection (1) or (1.1) of this section must be provided to the government free of charge and in the form and manner required by the Minister of Finance."
"Assessment Act","Provincial","66","Assessment authority to provide information to the government","assessment","authority","mandatory","(3) Before April 15 in each year, the assessment authority must provide free of charge to regional hospital district boards information setting out the current year net taxable value of all land and improvements in each member municipality, the treaty lands of each treaty first nation and the other rural area, in the district, on both the completed and the revised assessment rolls, for the purpose of requisitioning and raising funds under the Hospital District Act."
"Assessment Act","Provincial","66","Assessment authority to provide information to the government","assessment","authority","mandatory","(4) In the case of the North West Regional Hospital District, in addition to the information provided under subsection (3), the assessment authority must provide free of charge the net taxable value of all land and improvements in Nisg_a'a Lands."
"Canada National Marine Conservation Areas Act","Federal","10","Consultation","regulation; policy; protected_area; agreement; establishment","minister","mandatory","10 (1) The Minister shall consult with relevant federal and provincial ministers and agencies, with affected coastal communities, aboriginal organizations, aboriginal governments and bodies established under land claims agreements, and with other persons and bodies that the Minister considers appropriate in the development of marine conservation area policy and regulations, the establishment of any proposed marine conservation area and the modification of any marine conservation area, and any other matters that the Minister considers appropriate."
"Canada National Marine Conservation Areas Act","Federal","10","Progress reports","report","minister","mandatory","(2) At least every two years, the Minister shall cause to be tabled in each House of Parliament a report on the state of marine conservation areas and on progress towards completion of a representative system of marine conservation areas."
"Canada National Marine Conservation Areas Act","Federal","11","Area advisory committees","plan; protected_area; review; establishment","minister; committee","mandatory","11 (1) The Minister shall, for each marine conservation area, establish a management advisory committee to advise the Minister on the formulation, review and implementation of the management plan for the area."
"Canada National Marine Conservation Areas Act","Federal","11","Other advisory committees","policy; protected_area; review; establishment","minister","discretionary","(2) The Minister may establish other advisory committees to review and evaluate any aspect of marine conservation area policy or administration."
"Canada National Marine Conservation Areas Act","Federal","14","Disposal of substances","protected_area; permit; empowerment","minister","mandatory","14 (1) No person shall dispose of any substance in waters within a marine conservation area except as authorized by a permit issued by a superintendent pursuant to this Act or, in the case of waters to which subsection 125(1) of the Canadian Environmental Protection Act, 1999 applies, authorized by section 130 of that Act or by a permit issued by the Minister of the Environment pursuant to section 127 or 128 of that Act."
"Canada National Marine Conservation Areas Act","Federal","14","Permits under CEPA, 1999","protected_area; permit","minister","discretionary","(2) No permit may be issued under section 127 or 128 of the Canadian Environmental Protection Act, 1999 for disposal in the waters of a marine conservation area except with the concurrence of the Minister."
"Canada National Marine Conservation Areas Act","Federal","16","Regulations","regulation; order_in_council","governor_in_council; council","discretionary","16 (1) The Governor in Council may make regulations, consistent with international law, for the control and management of any or all marine conservation areas, including regulations"
"Canada National Marine Conservation Areas Act","Federal","16","Fisheries and aquaculture","regulation","minister","discretionary","(2) Regulations under this section respecting fisheries management and conservation or restricting or prohibiting fishing or aquaculture may be made only on the recommendation of the Minister and the Minister of Fisheries and Oceans."
