cu_index,cu_species,cu_name,cu_area,cu_type,du_number,du_name,du_acronym,smu_area,smu_name,smu_id,smu_species,COSEWIC_threat_category,iucn_l2,rpa_threat_ranking,ranking_id
CK-2,Chinook,BOUNDARY BAY_FA_0.3,FRASER INTERIOR,Current,1,"Southern Mainland Boundary Bay, Ocean, Fall population",BB+GStr/Ocean/Fall,,NO DESIGNATED SMU,,Chinook,Habitat Shifting and Alteration,11.1 Changes in Physical & Chemical Regimes,High,6
CK-7,Chinook,MARIA SLOUGH_SU_0.3,FRASER INTERIOR,Current,6,"Lower Fraser, Ocean, Summer (Maria Slough)",LFR+GStr/Ocean/Summer,FRASER INTERIOR,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,Chinook,Habitat Shifting and Alteration,11.1 Changes in Physical & Chemical Regimes,High,6
CK-14,Chinook,SOUTH THOMPSON_SU_1.3,FRASER INTERIOR,Current,13,"South Thompson, Stream, Summer ",STh+GStr/Stream/Summer,FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Droughts,11.3 Changes in Precipitation & Hydrological Regimes,High,6
CK-17,Chinook,LOWER THOMPSON_SP_1.2,FRASER INTERIOR,Current,15,"Lower Thompson, Stream, Spring",LTh+GStr/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 42 CHINOOK SALMON,CK-FIA-06,Chinook,Droughts,11.3 Changes in Precipitation & Hydrological Regimes,High,6
CK-10,Chinook,MIDDLE FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,9,"Middle Fraser, Stream, Spring ",MFR+GStr/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Biological resource use  (Fishing),"5.4 Fishing, Harvesting & Controlling Aquatic Species",High-Low,5
CK-11,Chinook,MIDDLE FRASER RIVER_SU_1.3,FRASER INTERIOR,Current,10,"Middle Fraser,Stream, Summer",MFR+GStr/Stream/Summer,FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Biological resource use  (Fishing),"5.4 Fishing, Harvesting & Controlling Aquatic Species",High-Low,5
CK-12,Chinook,UPPER FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,11,"Upper Fraser, Stream, Spring",UFR/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Biological resource use  (Fishing),"5.4 Fishing, Harvesting & Controlling Aquatic Species",High-Low,5
CK-16,Chinook,SOUTH THOMPSON-BESSETTE CREEK_SU_1.2,FRASER INTERIOR,Current,14,"South Thompson, Stream, Summer (Bessette)",STh+GStr/Stream/Summer/(Bessette),FRASER INTERIOR,FRASER SPRING RUN 42 CHINOOK SALMON,CK-FIA-06,Chinook,Biological resource use  (Fishing),"5.4 Fishing, Harvesting & Controlling Aquatic Species",High-Low,5
CK-18,Chinook,NORTH THOMPSON_SP_1.3,FRASER INTERIOR,Current,16,"North Thompson, Stream, Spring",NTh+GStr/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Biological resource use  (Fishing),"5.4 Fishing, Harvesting & Controlling Aquatic Species",High-Low,5
CK-19,Chinook,NORTH THOMPSON_SU_1.3,FRASER INTERIOR,Current,17,"North Thompson, Stream, Summer",NTh+Gstr/Stream/Summer,FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Biological resource use  (Fishing),"5.4 Fishing, Harvesting & Controlling Aquatic Species",High-Low,5
CK-3,Chinook,LOWER FRASER RIVER_FA_0.3,FRASER INTERIOR,Current,2,"Lower Fraser, Ocean, Fall (Harrison)",LFR+GStr/Ocean/Fall,FRASER INTERIOR,FRASER FALL RUN 41 CHINOOK SALMON,CK-FIA-02,Chinook,Climate change & severe weather  (Shifting habitats),11.1 Changes in Physical & Chemical Regimes,High-Low,5
