paragraph_id,legislation_id,section,heading,paragraph
240,2,18,Restrictions on approving land uses and subdivision,"(a) is not a residential structure and will be used for a farm use or permitted non-farm use,"
241,2,18,Restrictions on approving land uses and subdivision,(b) is a principal residence and
242,2,18,Restrictions on approving land uses and subdivision,"(i)  is of a size and is sited in accordance with section 20.1 (1), or"
243,2,18,Restrictions on approving land uses and subdivision,"(ii)  is permitted under section 25 or 45 or the regulations,"
244,2,18,Restrictions on approving land uses and subdivision,"(c) is an additional residence and is permitted under section 25 or 45 or the regulations, or"
245,2,18,Restrictions on approving land uses and subdivision,(d) is a residential structure other than a residence and
246,2,18,Restrictions on approving land uses and subdivision,"(i)  is of a size and is sited in accordance with the regulations or as permitted under an application made in accordance with the regulations, and"
247,2,18,Restrictions on approving land uses and subdivision,(ii)  will be used as permitted under section 25 or 45 or the regulations.
248,2,18,Restrictions on approving land uses and subdivision,"(4) An approving body may approve or permit a soil or fill use of agricultural land only if the soil or fill use is permitted under section 20.3, 25 or 45."
249,2,18,Restrictions on approving land uses and subdivision,(5) The following persons may not approve a subdivision of land that would cause agricultural land to be subdivided unless the subdivision is permitted under section 25 or 45 or the regulations:
250,2,18,Restrictions on approving land uses and subdivision,"(a) an approving officer under the Land Title Act, the Local Government Act or the Strata Property Act;"
251,2,18,Restrictions on approving land uses and subdivision,(b) a person who exercises the powers of an approving officer under any other Act.
252,2,18.1,Notice of statutory right of way,"18.1		  (1) In this section, ""statutory right of way"" means a statutory right of way as described in section 218 of the Land Title Act that extends fully or partially over land within the agricultural land reserve."
253,2,18.1,Notice of statutory right of way,"(2) Before applying to register a charge granting or otherwise creating a statutory right of way, the applicant must give notice, in the prescribed form and manner, to the commission."
254,2,18.1,Notice of statutory right of way,"(3) A Registrar of Titles must not register a charge granting or otherwise creating a statutory right of way unless the application to register the charge is accompanied by proof, given in the prescribed form and manner, that notice has been given as required under subsection (2) of this section."
255,2,19,Registration restrictions,"19		  (1) In this section, ""plan"" means the following:"
