legislation_id,jurisdiction,legislation_type,act_name,legislation_name,url,agencies,current_to_date
176,Provincial,Act,Transportation Act,Transportation Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04044_01,Transportation and Transit,2025-08-26
177,Federal,Act,"Transportation Of Dangerous Goods Act, 1992","Transportation of Dangerous Goods Act, 1992",https://laws-lois.justice.gc.ca/eng/acts/T-19.01/index.html,,2025-09-29
179,Federal,Regulations,"Transportation Of Dangerous Goods Act, 1992",Transportation of Dangerous Goods Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2001-286/index.html,,2025-09-29
178,Federal,Regulations,"Transportation Of Dangerous Goods Act, 1992",Transportation of Dangerous Goods by Rail Security Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-113/index.html,,2025-09-29
180,Provincial,Act,Tsawwassen First Nation Final Agreement Act,Tsawwassen First Nation Final Agreement Act,https://laws-lois.justice.gc.ca/eng/acts/T-21.5/index.html,Minister of Indian Affairs and Northern Development,2025-08-26
185,Provincial,Act,Water Protection Act,Water Protection Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96484_01,"Water, Land and Resource Stewardship",2025-08-26
40,Provincial,Regulations,Water Sustainability Act,Dam Safety Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/40_2016,"Water, Land and Resource Stewardship",2016-02-29
94,Provincial,Regulations,Water Sustainability Act,Groundwater Protection Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/39_2016,"Water, Land and Resource Stewardship",2016-02-29
184,Provincial,Regulations,Water Sustainability Act,Water Districts Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/38_2016,"Water, Land and Resource Stewardship",2016-02-29
186,Provincial,Act,Water Sustainability Act,Water Sustainability Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14015,"Water, Land and Resource Stewardship",2025-08-26
187,Provincial,Regulations,Water Sustainability Act,Water Sustainability Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/36_2016,"Water, Land and Resource Stewardship",2016-02-29
188,Provincial,Act,Water Utility Act,Water Utility Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96485_01,"Water, Land and Resource Stewardship",2025-08-26
189,Provincial,Act,Weed Control Act,Weed Control Act,,Forests,2025-08-26
190,Provincial,Regulations,Weed Control Act,Weed Control Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/66_85,Forests,1985-03-15
6,Provincial,Regulations,Wildlife Act,Angling and Scientific Collection Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/125_90,"Water, Land and Resource Stewardship",1990-03-30
38,Provincial,Regulations,Wildlife Act,Controlled Alien Species Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/94_2009,"Water, Land and Resource Stewardship",2009-03-13
44,Provincial,Regulations,Wildlife Act,Designation of Officers Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/305_2002,"Water, Land and Resource Stewardship",2002-11-20
91,Provincial,Regulations,Wildlife Act,Freshwater Fish Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/261_83,"Water, Land and Resource Stewardship",1983-07-15
112,Provincial,Regulations,Wildlife Act,Management Unit Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/64_96,"Water, Land and Resource Stewardship",1996-03-08
139,Provincial,Regulations,Wildlife Act,Permit Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/253_2000#section2.1,"Water, Land and Resource Stewardship",2000-07-07
193,Provincial,Act,Wildlife Act,Wildlife Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96488_01,"Water, Land and Resource Stewardship",2025-08-26
191,Provincial,Regulations,Wildlife Act,Wildlife Act Commercial Activities Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/338_82,"Water, Land and Resource Stewardship",1982-07-30
192,Provincial,Regulations,Wildlife Act,Wildlife Act General Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/340_82,"Water, Land and Resource Stewardship",1982-07-30
194,Provincial,Regulations,Wildlife Act,Wildlife Management Areas Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12_2015,"Water, Land and Resource Stewardship",2015-01-21
196,Federal,Act,"Wrecked, Abandoned Or Hazardous Vessels Act","Wrecked, Abandoned or Hazardous Vessels Act",https://laws-lois.justice.gc.ca/eng/acts/W-12.3/index.html,Minister of Transport,2025-09-29
