paragraph_id,actionable_type,responsible_official,discretion_type
22918,,Committee; Minister,discretionary
22923,,Minister,discretionary
23512,,Minister,discretionary
22925,agreement,Minister,discretionary
24952,order,Minister; Regulator,discretionary
24954,,Auditor; Regulator,mandatory
25958,regulation; order_in_council; permit,governor; Lieutenant,discretionary; mandatory
25959,regulation; order_in_council; permit,governor; Lieutenant,discretionary; mandatory
26003,regulation; order_in_council; authorization; authorization,governor; Lieutenant; Minister,discretionary
26014,regulation; order_in_council; authorization; authorization,governor; Lieutenant; Minister,discretionary
24961,report,Advisory; Board; Committee,discretionary
24962,,Advisory; Committee; Minister; Regulator,discretionary
26076,regulation,Board,discretionary
24978,report,Auditor; Board; Minister; Regulator,mandatory
24891,order,Minister,discretionary
25115,authorization; permit; authorization,Regulator,discretionary; mandatory
25132,permit,Regulator,discretionary
25137,authorization; permit; authorization,Regulator,mandatory
25186,authorization; authorization; approval,Regulator,discretionary
25221,regulation; order; permit; exemption,Regulator,discretionary
25270,certificate,Regulator,discretionary; mandatory
25271,certificate,Regulator,discretionary
25354,regulation,Regulator,discretionary
25389,,Regulator,discretionary
25390,designation,Regulator,discretionary
25410,,Regulator,discretionary
25434,,Regulator,mandatory
25436,regulation,Regulator,mandatory
25439,regulation; permit,Regulator,discretionary
25452,,Board,discretionary
25555,order,Regulator,discretionary
25559,,Regulator,discretionary
25566,,Regulator,discretionary; mandatory
24919,order_in_council,Chief; commissioner; governor; Lieutenant; Officer; Regulator,discretionary
24920,order,commissioner; Minister,discretionary
24921,,Board; commissioner,discretionary
24945,regulation; order_in_council; approval,governor; Lieutenant; Regulator,discretionary
25880,,Regulator,discretionary; mandatory
25881,certificate,commissioner; Regulator,discretionary
25882,certificate,Minister,discretionary
26566,,Committee,mandatory
26582,regulation; order; order_in_council,Committee; governor; Lieutenant,discretionary
26819,,Advisory; Committee,discretionary
26829,assessment,Commission; Minister,discretionary
26830,,Minister,discretionary
26831,order; assessment,Chief; Minister; Officer,discretionary
26853,assessment,Chief; Officer,mandatory
26860,assessment; review,Chief; Officer,discretionary
26863,assessment,Chief; Officer,mandatory
26876,certificate; assessment,Chief; ministers; Officer,mandatory
26886,assessment,Chief; Officer,mandatory
26893,notice,ministers,mandatory
26894,,ministers,mandatory
26897,certificate; assessment,ministers,mandatory
26898,assessment,Chief; ministers; Officer,mandatory
26627,order_in_council; assessment,Chief; governor; Lieutenant; Officer,discretionary
26900,certificate; assessment,Minister,mandatory
26914,order; certificate,Minister,discretionary
26917,assessment,Chief; Officer,mandatory
26918,assessment,Chief; Minister; Officer,mandatory
26921,certificate; notice; assessment,Chief; Officer,mandatory
26922,order; certificate; exemption; assessment,Chief; Officer,discretionary
26928,assessment,Chief; Officer,mandatory
26929,assessment,Agency; agency; Board; Chief; Officer,mandatory
26930,order; certificate; exemption; assessment,Chief; Officer,discretionary
